name                                   , symbol   , issueSize, priceRange      , openDate  , closeDate , listingDate, status  , exchange
Knowledge Realty Trust REIT            , KNOWLEDGE,   4800.00, 100             , 2025-08-05, 2025-08-07, 2025-08-18 , LISTED  , BSE NSE
Bhadora Industries Ltd.                , BHADORA  ,     55.62, 103             , 2025-08-04, 2025-08-06, 2025-08-11 , LISTED  , NSE SME
Parth Electricals & Engineering Ltd.   , PARTH    ,     49.67, 170             , 2025-08-04, 2025-08-06, 2025-08-11 , LISTED  , NSE SME
Jyoti Global Plast Ltd.                , JYOTI    ,     35.44, 66              , 2025-08-04, 2025-08-06, 2025-08-11 , LISTED  , NSE SME
Aaradhya Disposal Industries Ltd.      , AARADHYA ,     45.1 , 116             , 2025-08-04, 2025-08-06, 2025-08-11 , LISTED  , NSE SME
BLT Logistics Ltd.                     , BLT      ,      9.72, 75              , 2025-08-04, 2025-08-06, 2025-08-11 , LISTED  , BSE SME
Essex Marine Ltd.                      , ESSEX    ,     23.01, 54              , 2025-08-04, 2025-08-06, 2025-08-11 , LISTED  , BSE SME
Flysbs Aviation Ltd.                   , FLYSBS   ,    102.53, 225             , 2025-08-01, 2025-08-05, 2025-08-08 , LISTED  , NSE SME
Cash Ur Drive Marketing Ltd.           , CASH     ,     60.79, 130             , 2025-07-31, 2025-08-04, 2025-08-07 , LISTED  , NSE SME
Renol Polychem Ltd.                    , RENOL    ,     25.77, 105             , 2025-07-31, 2025-08-04, 2025-08-07 , LISTED  , NSE SME
